keys,en
Settings,Settings
Cheats,Cheats
Close,Close
Actions,Actions
Puzzle,Puzzle
Display,Display
Audio,Audio
Music,Music
Effects,Effects
Discs,Discs
Slots,Slots
Show goal,Show goal
Bonus beakers,Bonus beakers
Special beakers,Special beakers
Board code,Board code
Copy,Copy
Load,Load
Palette,Palette
Liquid opacity,Liquid opacity
Liquid symbols,Liquid symbols
Symbols,Symbols
Alphanumeric,Alphanumeric
Letters,Letters
Glyphs,Glyphs
Difficulty,Difficulty
Easy,Easy
Normal,Normal
Hard,Hard
Custom,Custom
Classic,Classic
Colorblind,Colorblind
High Contrast,High Contrast
Moves,Moves
Pours,Pours
moves,moves
pours,pours
🎉  SOLVED!  🎉,🎉  SOLVED!  🎉
Completed in %d %s,Completed in %d %s
New Puzzle,New Puzzle
New,New
Retry,Retry
View Board,View Board
Board,Board
Menu,Menu
Options: %d,Options: %d
Finding goal %s,Finding goal %s
"Finding goal %s | %s","Finding goal %s | %s"
Calculating goal,Calculating goal
Goal ready,Goal ready
Still calculating goal,Still calculating goal
Goal not found,Goal not found
"Goal %d | Limit %d | Score %s","Goal %d | Limit %d | Score %s"
Score pending %s,Score pending %s
Score pending,Score pending
"Score %s | Goal %d | Extra %s","Score %s | Goal %d | Extra %s"
"  |  Undo: +%s","  |  Undo: +%s"
"  |  Cheat: +%s","  |  Cheat: +%s"
"  |  Beaker: +%s","  |  Beaker: +%s"
"  |  Bonus: +%s","  |  Bonus: +%s"
" | Undo: +%s"," | Undo: +%s"
" | Cheat: +%s"," | Cheat: +%s"
" | Beaker: +%s"," | Beaker: +%s"
POUR LIMIT,POUR LIMIT
LOOP DETECTED,LOOP DETECTED
NO MOVES,NO MOVES
BEAKER SHATTERED,BEAKER SHATTERED
CRACKED NOT EMPTY,CRACKED NOT EMPTY
Limit: %d %s.,Limit: %d %s.
State repeated %d times.,State repeated %d times.
No legal pours remain.,No legal pours remain.
Cracked must end empty.,Cracked must end empty.
Cracked beaker shattered.,Cracked beaker shattered.
Score: %s,Score: %s
"Goal %d | Limit %d | %s","Goal %d | Limit %d | %s"
"Goal %d | Limit %d | Score %s","Goal %d | Limit %d | Score %s"
Undo +%s,Undo +%s
Undos left: %d,Undos left: %d
Extra,Extra
Extra +%s,Extra +%s
Stir +%s,Stir +%s
Swap +%s,Swap +%s
Recovery: choose a mixed beaker.,Recovery: choose a mixed beaker.
Recovery: choose adjacent segments.,Recovery: choose adjacent segments.
Copied,Copied
Invalid board code,Invalid board code
Loaded,Loaded
Rainbow Hanoi,Rainbow Hanoi
Choose a game mode,Choose a game mode
Rainbow Pour,Rainbow Pour
Board Builder,Board Builder
Copy Code,Copy Code
Play Board,Play Board
Liquid,Liquid
Beakers,Beakers
Colors,Colors
Empty,Empty
Tool,Tool
Paint,Paint
Erase,Erase
Type,Type
Clear,Clear
Random Fill,Random Fill
Solving goal...,Solving goal...
Goal not found.,Goal not found.
Code ready: %d pours.,Code ready: %d pours.
Use %d of each color.,Use %d of each color.
No full one-color cracked beakers.,No full one-color cracked beakers.
Place pieces,Place pieces
Finding goal,Finding goal
%d pours,%d pours
Copied board code.,Copied board code.
Prism,Prism
Plain,Plain
Tint %d,Tint %d
Crack,Crack
"🗼 Rainbow Hanoi

Move disks
to the middle","🗼 Rainbow Hanoi

Move disks
to the middle"
"🗼 Rainbow Hanoi

Bonus side puzzle","🗼 Rainbow Hanoi

Bonus side puzzle"
"🗼 Rainbow Hanoi
Bonus puzzle","🗼 Rainbow Hanoi
Bonus puzzle"
"🧪 Rainbow Pour

Sort colors
into beakers","🧪 Rainbow Pour

Sort colors
into beakers"
"🧪 Rainbow Pour
Sort colors into beakers","🧪 Rainbow Pour
Sort colors into beakers"
"🪅 Board Builder

Make a
pour puzzle","🪅 Board Builder

Make a
pour puzzle"
"🪅 Board Builder

Make pour puzzles","🪅 Board Builder

Make pour puzzles"
"🪅 Board Builder
Make puzzles","🪅 Board Builder
Make puzzles"
"Select, then pour.
One-color fills shatter cracked beakers.","Select, then pour.
One-color fills shatter cracked beakers."
"Select a tower, then move one disk.
No larger disk on smaller.","Select a tower, then move one disk.
No larger disk on smaller."
